" dedǜǜrt·wǜle","(Part.): ❶ dadurch, deswegen (Gu1 UL1 Fr1 He1 OL1); mee wiis nit asmal dr Pfaarer, ù derdǜǜrtwǜle cha iim daas scho a wee Chùmer mache (pb Isi45); ❷ mittlerweile, währenddessen (Ta1 We1); SYN: derwyle.","[auch dedǜǜrtwǜle (pb), dedǜǜrtwile (Pl1 Ss1), dǜǜrtwǜle (Gu1 Fr1 Re1), dùrtwǜle (He1) (r) veraltend (r) aus *dar-durch-willen, wobei dem durch ein t angefügt wurde (vgl. Anhang 3.15) (r) Id 15,1305]"
"dedǜǜr·choo","(isch -choo): durchkommen, a) durch kl. Öffnung schlüpfen können (Haas: Fr); SYN: yymege. b) bestehen, erreichen (Haas: Fr); SYN: ggriise. c) überstehen, zB Krankheit (Fr1); SYN: dedǜǜrschlüüffe. ↑preschtiere.",""
"dedǜǜr·flädere","(-gfläderet): vorbeirasen, vorübersausen (We2).",""
"dedǜǜr·kye","(-kyyt): durchfallen, a) durch eine Öffnung fallen; b) Prüfung nicht bestehen: bym erschte Exame han i Pääch ghääbe, i bǜ derdǜǜr kyt (pb Spät153).",""
"dedǜǜr·mache","(-gmacht): a) durchleben, zB schwierige Zeit (He1); b) nicht schlafen gehen, festen bis am anderen Morgen (pb S-7); ↑feschte.","[auch dǜǜrmache (He1)]"
"dedǜǜr·schlaa","(sich -gschlaage): ❶ durchbringen, überleben: i muess mi sälber dedǜǜrschla (pm 61); ❷ durchsetzen, zum Erfolg kommen: dii, wa i de jùnge Jaar ùnedǜǜr ggange synn ù si däwääg hii müesse wöre, di wääre si o i mǜndere Zyte dedǜǜr schlaa (pb Spät107); ↑ aaranze, öḷbögele.",""
"dedǜǜr·schlüüffe","(-gschloffe/-gschlǜffe): durchkommen, a) durch kl. Öffnung schlüpfen können (Haas: Fr); SYN: yymege. b) bestehen, erreichen (Haas: Fr); SYN: ggriise. c) überstehen, zB Krankheit (Fr1); SYN: dedǜǜrchoo. ↑preschtiere.",""
"dedǜǜr·staa","(-gstane): durchstehen, aushalten: zeersch hii beedi gmint, si welis dedǜǜrstaa bys zùr Taghiiteri (pb Spät93).",""
"dedǜǜr·treeje","(-treeit): ❶ durchdrehen, ins Leere greifen (Ta2); ❷ verrückt werden, dumm reden (Ta2 Pl2 Ss2); treej nit dǜǜr auso! (Jugend); ↑kaḷfaktere.","[auch dǜǜrtreeje (Pl2 Ss2)]"
"dedǜǜr·zye","(-zoge): ❶ durch enge Öffnung ziehen, zB Ende des Garns vernähen bei Strickerei (sds 7,78: Fr); SYN: vùrneeje. ❷ übertr., a) mit voller Wucht schlagen: dä het auso vou dedǜǜrzoge (We2); b) Sache zu Ende führen (Haas: Fr).","[auch dǜǜrzye (sds: Fr)]"
"Deela"," s. Teela.",""
"defǜǜr","(Part.): dafür (Wü2 Gi2 Re1 / wh 56). ANT: deggäge. • Ra.: isi drfǜǜr haa sich nicht zu schade sein: si scheme si a bitz fùr d Schweschter, ass dia (...) si defǜǜr hiigi, mit de Chnächte z chǜflen ù z zangge (pb Verse33); as hette si o chum eper drfǜǜr ghääbe (ar 77).","[auch derfǜǜr (wh), drfǜǜr (ar) (r) Ra.: Id 1,966]"
"deggäge","(Part.): dagegen (Gu2 Dü2 Si1 / wh 135, 171); ANT: defǜǜr.","[auch derggäge (wh), degäge (neu / Gu2 Dü2)]"
"deglyche"," s. derglyyche.",""
"dehiim","(Part.): daheim (allg.; sds 6,99 / wh 135, 165); sî elter Bueb ist nit daheim gsi (Stalder 1819: UL).","[auch dahiim (Fr1 We1 OL1 Si2; sds: Ta Ss / wh); daheim (Stalder) (r) Id 2,1281]"
"deiche","(teicht): denken (sds 5,16 / wh 133, 147); i ha halber teicht, as gangi nùmen ùm ds Gäld (pb S-8). • Raa.: asch deich (emù) waar denk! (pk) • chasch (der) deiche kaum, sicher nicht (pk).","[mhd denken 'denken'; zur Lautung s. Anhang 3.10]"
"Dekaan","(m, -ää-): Dekan: epis chan i de velig nit vùrstaa, Herr Dekaan (ar 14); SYN: Tächet.",""
"delykaat","(-er, -escht): ❶ köstlich, lecker (Dü2); SYN: chöschtlig. ❷ heikel, empfindlich: a delykaata Maage (Si1); SYN: iigelig.",""
"dem","(Pron.): dem, diesem; Dat. Sg., mask. od. neutr.: wär a Schäär töötet, dem stäärben ali Chatze Aberglaube (Gi1); va wäge dem Chatzejammer am Mentig (Sense 1863); vgl. Anhang 2.",""
"dempse"," s. demsse.",""
"demsse","(Pron.): dem sein, diesem gehörend; Gen. Sg, mask. od. neutr. (allg. / wh 148, 200); wemse isch daas? - demse (pb S-4); vgl. Anhang 2.","[auch dämsse (wh), dempse (wh), demse (wh: ""neu""; pb), demsi (wh 27) (r) aus *dem-sein ]"
"dena"," s. däna.",""
"denaa","(Part.): a) danach, später (allg2 / wh 134f); graad chùùrz denaa (Fr2 Si2); SYN: denù. b) irgend: i ha denaa eppis wöle sääge (Üb1); deich, we das dernaa eper setti köere (Kolly 48); denaa iina mögtis nit vùrlyde (Ta2). • Ra.: dernaa wy je nachdem, wie: as wǜrd gjasset ù lut gredt, dernaa wy dr Waadtlenner oder de Walisser wǜrkt (pm 21).","[auch dernaa (wh; Kolly)]"
"dene","(Pron.): diesen, denen; Dat. Pl.: är isch mit dùm Wädelebock dene Hüüffe nagnoppet (pm 67); a dene Aabene (...) sy si mǜnder oder mee in a Pǜnta ga jasse (pb Isi62); däne wùl i leere z'gfräse im a settige Ton (fa Josi15); vgl. Anhang 2.","[auch däne (fa)]"
"denes","(Pron.): denen ihres, diesen gehörend: denes Chinn isch so as häärzigs (He2); vgl. Anhang 2.","[auch dänes ]"
"denn","(Part.): a) dann, darauf (wh 147); ↑denù. b) damals (wh 170); ↑vùrwiche. • Ra.: den ù tenn dann und dann (wh 30).",""
"denn·zù·maaḷ","(Part.): dazumal, vor langer Zeit (He1 Gi1 Ss1). SYN: dùmale.",""
